No,created_at,id_str,username,Teks Tweet,Label,Label Ahli (Validasi),Catatan / Komentar,Unnamed: 8,Tweet_CaseFolded,Tweet_Cleaned,Tweet_Tokenized,Tweet_Normalized,Tweet_Final,label_encoded,Detail_Nilai_Token,Token_Sequence_Padding
1,2025-03-06 20:11:43,1.89764e+18,ryan_ires,"@prabowo Kesejahteraan rakyat adalah amanat yg harus d perjuangkan ???? Sejahtera sprt apa pak ??? Remun d potong, dana opr kampus di pangkas. Katanya Pendidikan jd pondasi utama membangun indonesia maju..tp kesejahteraan dosen d pangkas.. mana mau lebaran pak.. pak...",negatif,,,,"@prabowo kesejahteraan rakyat adalah amanat yg harus d perjuangkan ???? sejahtera sprt apa pak ??? remun d potong, dana opr kampus di pangkas. katanya pendidikan jd pondasi utama membangun indonesia maju..tp kesejahteraan dosen d pangkas.. mana mau lebaran pak.. pak...",kesejahteraan rakyat adalah amanat yg harus d perjuangkan sejahtera sprt apa pak remun d potong dana opr kampus di pangkas katanya pendidikan jd pondasi utama membangun indonesia maju tp kesejahteraan dosen d pangkas mana mau lebaran pak pak,"['kesejahteraan', 'rakyat', 'adalah', 'amanat', 'yg', 'harus', 'd', 'perjuangkan', 'sejahtera', 'sprt', 'apa', 'pak', 'remun', 'd', 'potong', 'dana', 'opr', 'kampus', 'di', 'pangkas', 'katanya', 'pendidikan', 'jd', 'pondasi', 'utama', 'membangun', 'indonesia', 'maju', 'tp', 'kesejahteraan', 'dosen', 'd', 'pangkas', 'mana', 'mau', 'lebaran', 'pak', 'pak']","['kesejahteraan', 'rakyat', 'adalah', 'amanat', 'yang', 'harus', 'di', 'perjuangkan', 'sejahtera', 'seperti', 'apa', 'pak', 'remun', 'di', 'potong', 'dana', 'opr', 'kampus', 'di', 'pangkas', 'katanya', 'pendidikan', 'jadi', 'pondasi', 'utama', 'membangun', 'indonesia', 'maju', 'tapi', 'kesejahteraan', 'dosen', 'di', 'pangkas', 'mana', 'mau', 'lebaran', 'pak', 'pak']",kesejahteraan rakyat adalah amanat yang harus di perjuangkan sejahtera seperti apa pak remun di potong dana opr kampus di pangkas katanya pendidikan jadi pondasi utama membangun indonesia maju tapi kesejahteraan dosen di pangkas mana mau lebaran pak pak,0,"kesejahteraan: 116, rakyat: 75, adalah: 90, amanat: 841, yang: 5, harus: 68, di: 9, perjuangkan: 2001, sejahtera: 842, seperti: 175, apa: 66, pak: 188, remun: 1356, di: 9, potong: 125, dana: 11, opr: 2002, kampus: 67, di: 9, pangkas: 298, katanya: 163, pendidikan: 3, jadi: 19, pondasi: 2003, utama: 409, membangun: 623, indonesia: 16, maju: 59, tapi: 22, kesejahteraan: 116, dosen: 229, di: 9, pangkas: 298, mana: 113, mau: 54, lebaran: 504, pak: 188, pak: 188","[ 116   75   90  841    5   68    9 2001  842  175   66  188 1356    9
  125   11 2002   67    9  298  163    3   19 2003  409  623   16   59
   22  116  229    9  298  113   54  504  188  188    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
2,2025-02-13 13:56:38,1.88993e+18,akuratco,"Isu KIP Kuliah Kena Efisiensi, Ada Tagar #SaveKIPKuliah, Ini Penjelasan Mendiktisaintek

Warganet dicekam panik akibat isu efisiensi anggaran Kementerian Pendidikan Tinggi, Sains dan Teknologi (Kemendikti Saintek). Anggaran program Kartu Indonesia Pelajar (KIP) Kuliah https://t.co/sL8KueetwD",netral,,,,"isu kip kuliah kena efisiensi, ada tagar #savekipkuliah, ini penjelasan mendiktisaintek

warganet dicekam panik akibat isu efisiensi anggaran kementerian pendidikan tinggi, sains dan teknologi (kemendikti saintek). anggaran program kartu indonesia pelajar (kip) kuliah https://t.co/sl8kueetwd",isu kip kuliah kena efisiensi ada tagar ini penjelasan mendiktisaintek warganet dicekam panik akibat isu efisiensi anggaran kementerian pendidikan tinggi sains dan teknologi kemendikti saintek anggaran program kartu indonesia pelajar kip kuliah,"['isu', 'kip', 'kuliah', 'kena', 'efisiensi', 'ada', 'tagar', 'ini', 'penjelasan', 'mendiktisaintek', 'warganet', 'dicekam', 'panik', 'akibat', 'isu', 'efisiensi', 'anggaran', 'kementerian', 'pendidikan', 'tinggi', 'sains', 'dan', 'teknologi', 'kemendikti', 'saintek', 'anggaran', 'program', 'kartu', 'indonesia', 'pelajar', 'kip', 'kuliah']","['isu', 'kip', 'kuliah', 'kena', 'efisiensi', 'ada', 'tagar', 'ini', 'penjelasan', 'mendiktisaintek', 'warganet', 'dicekam', 'panik', 'akibat', 'isu', 'efisiensi', 'anggaran', 'kementerian', 'pendidikan', 'tinggi', 'sains', 'dan', 'teknologi', 'kemendikti', 'saintek', 'anggaran', 'program', 'kartu', 'indonesia', 'pelajar', 'kip', 'kuliah']",isu kip kuliah kena efisiensi ada tagar ini penjelasan mendiktisaintek warganet dicekam panik akibat isu efisiensi anggaran kementerian pendidikan tinggi sains dan teknologi kemendikti saintek anggaran program kartu indonesia pelajar kip kuliah,1,"isu: 262, kip: 14, kuliah: 13, kena: 31, efisiensi: 4, ada: 12, tagar: 553, ini: 7, penjelasan: 505, mendiktisaintek: 305, warganet: 1033, dicekam: 2004, panik: 1034, akibat: 312, isu: 262, efisiensi: 4, anggaran: 2, kementerian: 255, pendidikan: 3, tinggi: 136, sains: 554, dan: 8, teknologi: 723, kemendikti: 438, saintek: 624, anggaran: 2, program: 47, kartu: 213, indonesia: 16, pelajar: 137, kip: 14, kuliah: 13","[ 262   14   13   31    4   12  553    7  505  305 1033 2004 1034  312
  262    4    2  255    3  136  554    8  723  438  624    2   47  213
   16  137   14   13    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
3,2025-03-30 12:15:33,1.90621e+18,grok,"@ahmadaliks @txtdrimedia Survei menunjukkan rakyat umumnya puas dengan pemerintahan Prabowo-Gibran (77.9%-87.5%), terutama di bidang keamanan &amp; penanganan bencana. Namun, ada kekhawatiran soal ekonomi (52% nilai buruk) &amp; protes mahasiswa terhadap pemotongan anggaran pendidikan. Meski kepuasan tinggi, https://t.co/tg6H9YZyYQ",negatif,,,,"@ahmadaliks @txtdrimedia survei menunjukkan rakyat umumnya puas dengan pemerintahan prabowo-gibran (77.9%-87.5%), terutama di bidang keamanan &amp; penanganan bencana. namun, ada kekhawatiran soal ekonomi (52% nilai buruk) &amp; protes mahasiswa terhadap pemotongan anggaran pendidikan. meski kepuasan tinggi, https://t.co/tg6h9yzyyq",survei menunjukkan rakyat umumnya puas dengan pemerintahan prabowo gibran terutama di bidang keamanan amp penanganan bencana namun ada kekhawatiran soal ekonomi nilai buruk amp protes mahasiswa terhadap pemotongan anggaran pendidikan meski kepuasan tinggi,"['survei', 'menunjukkan', 'rakyat', 'umumnya', 'puas', 'dengan', 'pemerintahan', 'prabowo', 'gibran', 'terutama', 'di', 'bidang', 'keamanan', 'amp', 'penanganan', 'bencana', 'namun', 'ada', 'kekhawatiran', 'soal', 'ekonomi', 'nilai', 'buruk', 'amp', 'protes', 'mahasiswa', 'terhadap', 'pemotongan', 'anggaran', 'pendidikan', 'meski', 'kepuasan', 'tinggi']","['survei', 'menunjukkan', 'rakyat', 'umumnya', 'puas', 'dengan', 'pemerintahan', 'prabowo', 'gibran', 'terutama', 'di', 'bidang', 'keamanan', 'amp', 'penanganan', 'bencana', 'namun', 'ada', 'kekhawatiran', 'soal', 'ekonomi', 'nilai', 'buruk', 'amp', 'protes', 'mahasiswa', 'terhadap', 'pemotongan', 'anggaran', 'pendidikan', 'meski', 'kepuasan', 'tinggi']",survei menunjukkan rakyat umumnya puas dengan pemerintahan prabowo gibran terutama di bidang keamanan amp penanganan bencana namun ada kekhawatiran soal ekonomi nilai buruk amp protes mahasiswa terhadap pemotongan anggaran pendidikan meski kepuasan tinggi,0,"survei: 724, menunjukkan: 1357, rakyat: 75, umumnya: 2005, puas: 1358, dengan: 26, pemerintahan: 555, prabowo: 138, gibran: 843, terutama: 466, di: 9, bidang: 410, keamanan: 2006, amp: 91, penanganan: 2007, bencana: 1035, namun: 506, ada: 12, kekhawatiran: 844, soal: 140, ekonomi: 329, nilai: 556, buruk: 625, amp: 91, protes: 241, mahasiswa: 33, terhadap: 330, pemotongan: 20, anggaran: 2, pendidikan: 3, meski: 299, kepuasan: 2008, tinggi: 136","[ 724 1357   75 2005 1358   26  555  138  843  466    9  410 2006   91
 2007 1035  506   12  844  140  329  556  625   91  241   33  330   20
    2    3  299 2008  136    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
4,2025-03-20 15:15:38,1.90264e+18,berita_diy,"Bocoran Jadwal Pencairan PIP 2025, Bantuan PIP Termin 1 Kapan Cair? Ini Cara Cek Nama Penerima

#bantuanpip #pip

https://t.co/rWjMXoywBY",netral,,,,"bocoran jadwal pencairan pip 2025, bantuan pip termin 1 kapan cair? ini cara cek nama penerima

#bantuanpip #pip

https://t.co/rwjmxoywby",bocoran jadwal pencairan pip bantuan pip termin kapan cair ini cara cek nama penerima,"['bocoran', 'jadwal', 'pencairan', 'pip', 'bantuan', 'pip', 'termin', 'kapan', 'cair', 'ini', 'cara', 'cek', 'nama', 'penerima']","['bocoran', 'jadwal', 'pencairan', 'pip', 'bantuan', 'pip', 'termin', 'kapan', 'cair', 'ini', 'cara', 'cek', 'nama', 'penerima']",bocoran jadwal pencairan pip bantuan pip termin kapan cair ini cara cek nama penerima,1,"bocoran: 1359, jadwal: 626, pencairan: 507, pip: 28, bantuan: 81, pip: 28, termin: 411, kapan: 256, cair: 53, ini: 7, cara: 200, cek: 195, nama: 467, penerima: 164","[1359  626  507   28   81   28  411  256   53    7  200  195  467  164
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
5,2025-02-07 12:14:09,1.88773e+18,MrPratam,Optimis pendidikan Indonesia makin maju dengan kebijakan efisiensi ini. Anggaran yang dihemat bisa digunakan untuk kesejahteraan guru honorer.,positif,,,,optimis pendidikan indonesia makin maju dengan kebijakan efisiensi ini. anggaran yang dihemat bisa digunakan untuk kesejahteraan guru honorer.,optimis pendidikan indonesia makin maju dengan kebijakan efisiensi ini anggaran yang dihemat bisa digunakan untuk kesejahteraan guru honorer,"['optimis', 'pendidikan', 'indonesia', 'makin', 'maju', 'dengan', 'kebijakan', 'efisiensi', 'ini', 'anggaran', 'yang', 'dihemat', 'bisa', 'digunakan', 'untuk', 'kesejahteraan', 'guru', 'honorer']","['optimis', 'pendidikan', 'indonesia', 'makin', 'maju', 'dengan', 'kebijakan', 'efisiensi', 'ini', 'anggaran', 'yang', 'dihemat', 'bisa', 'digunakan', 'untuk', 'kesejahteraan', 'guru', 'honorer']",optimis pendidikan indonesia makin maju dengan kebijakan efisiensi ini anggaran yang dihemat bisa digunakan untuk kesejahteraan guru honorer,2,"optimis: 176, pendidikan: 3, indonesia: 16, makin: 70, maju: 59, dengan: 26, kebijakan: 23, efisiensi: 4, ini: 7, anggaran: 2, yang: 5, dihemat: 177, bisa: 21, digunakan: 141, untuk: 10, kesejahteraan: 116, guru: 29, honorer: 72","[176   3  16  70  59  26  23   4   7   2   5 177  21 141  10 116  29  72
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]"
6,2025-02-13 20:43:22,1.89003e+18,surycide,"walahh perkara efisiensi anggaran pendidikan kmrn aku perhatiin malah jadi konflik horizontal + makin banyak #kaburajadulu yg justru terkesan insensitif dan nirempati, tp yaudahlah aku gamau memperkeruh suasana. i said what i said and i hope i delivered some sense to my audience.",negatif,,,,"walahh perkara efisiensi anggaran pendidikan kmrn aku perhatiin malah jadi konflik horizontal + makin banyak #kaburajadulu yg justru terkesan insensitif dan nirempati, tp yaudahlah aku gamau memperkeruh suasana. i said what i said and i hope i delivered some sense to my audience.",walahh perkara efisiensi anggaran pendidikan kmrn aku perhatiin malah jadi konflik horizontal makin banyak yg justru terkesan insensitif dan nirempati tp yaudahlah aku gamau memperkeruh suasana i said what i said and i hope i delivered some sense to my audience,"['walahh', 'perkara', 'efisiensi', 'anggaran', 'pendidikan', 'kmrn', 'aku', 'perhatiin', 'malah', 'jadi', 'konflik', 'horizontal', 'makin', 'banyak', 'yg', 'justru', 'terkesan', 'insensitif', 'dan', 'nirempati', 'tp', 'yaudahlah', 'aku', 'gamau', 'memperkeruh', 'suasana', 'i', 'said', 'what', 'i', 'said', 'and', 'i', 'hope', 'i', 'delivered', 'some', 'sense', 'to', 'my', 'audience']","['walahh', 'perkara', 'efisiensi', 'anggaran', 'pendidikan', 'kemarin', 'aku', 'perhatikan', 'malah', 'jadi', 'konflik', 'horizontal', 'makin', 'banyak', 'yang', 'justru', 'terkesan', 'insensitif', 'dan', 'nirempati', 'tapi', 'yaudahlah', 'aku', 'enggak mau', 'memperkeruh', 'suasana', 'i', 'said', 'what', 'i', 'said', 'and', 'i', 'hope', 'i', 'delivered', 'some', 'sense', 'tapi', 'my', 'audience']",walahh perkara efisiensi anggaran pendidikan kemarin aku perhatikan malah jadi konflik horizontal makin banyak yang justru terkesan insensitif dan nirempati tapi yaudahlah aku enggak mau memperkeruh suasana i said what i said and i hope i delivered some sense tapi my audience,0,"walahh: 2009, perkara: 1036, efisiensi: 4, anggaran: 2, pendidikan: 3, kemarin: 155, aku: 63, perhatikan: 1360, malah: 82, jadi: 19, konflik: 2010, horizontal: 2011, makin: 70, banyak: 62, yang: 5, justru: 385, terkesan: 2012, insensitif: 2013, dan: 8, nirempati: 2014, tapi: 22, yaudahlah: 2015, aku: 63, enggak: 76, mau: 54, memperkeruh: 2016, suasana: 1037, i: 412, said: 1361, what: 845, i: 412, said: 1361, and: 508, i: 412, hope: 2017, i: 412, delivered: 2018, some: 2019, sense: 2020, tapi: 22, my: 1038, audience: 1362","[2009 1036    4    2    3  155   63 1360   82   19 2010 2011   70   62
    5  385 2012 2013    8 2014   22 2015   63   76   54 2016 1037  412
 1361  845  412 1361  508  412 2017  412 2018 2019 2020   22 1038 1362
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
7,2025-02-22 18:24:59,1.89326e+18,insilentera,"ditengah huru-hara efisiensi anggaran pendidikan dsb ini, apakah aku termasuk orang yang egois kalo misal masih berharap pengen ikut kkn-inter?
it's totally impossible, kalo dilihat dr keadaan ekonomi keluarga ku dan ekonomi negara, tp gada yg gamungkin, kan???",negatif,,,,"ditengah huru-hara efisiensi anggaran pendidikan dsb ini, apakah aku termasuk orang yang egois kalo misal masih berharap pengen ikut kkn-inter?
it's totally impossible, kalo dilihat dr keadaan ekonomi keluarga ku dan ekonomi negara, tp gada yg gamungkin, kan???",ditengah huru hara efisiensi anggaran pendidikan dsb ini apakah aku termasuk orang yang egois kalo misal masih berharap pengen ikut kkn inter it s totally impossible kalo dilihat dr keadaan ekonomi keluarga ku dan ekonomi negara tp gada yg gamungkin kan,"['ditengah', 'huru', 'hara', 'efisiensi', 'anggaran', 'pendidikan', 'dsb', 'ini', 'apakah', 'aku', 'termasuk', 'orang', 'yang', 'egois', 'kalo', 'misal', 'masih', 'berharap', 'pengen', 'ikut', 'kkn', 'inter', 'it', 's', 'totally', 'impossible', 'kalo', 'dilihat', 'dr', 'keadaan', 'ekonomi', 'keluarga', 'ku', 'dan', 'ekonomi', 'negara', 'tp', 'gada', 'yg', 'gamungkin', 'kan']","['ditengah', 'huru', 'hara', 'efisiensi', 'anggaran', 'pendidikan', 'dsb', 'ini', 'apakah', 'aku', 'termasuk', 'orang', 'yang', 'egois', 'kalau', 'misal', 'masih', 'berharap', 'pengin', 'ikut', 'kkn', 'inter', 'itu', 'si', 'totally', 'impossible', 'kalau', 'dilihat', 'dari', 'keadaan', 'ekonomi', 'keluarga', 'ku', 'dan', 'ekonomi', 'negara', 'tapi', 'enggak ada', 'yang', 'gamungkin', 'kan']",ditengah huru hara efisiensi anggaran pendidikan dsb ini apakah aku termasuk orang yang egois kalau misal masih berharap pengin ikut kkn inter itu si totally impossible kalau dilihat dari keadaan ekonomi keluarga ku dan ekonomi negara tapi enggak ada yang gamungkin kan,0,"ditengah: 1363, huru: 1039, hara: 1040, efisiensi: 4, anggaran: 2, pendidikan: 3, dsb: 725, ini: 7, apakah: 348, aku: 63, termasuk: 248, orang: 56, yang: 5, egois: 2021, kalau: 41, misal: 846, masih: 69, berharap: 627, pengin: 628, ikut: 313, kkn: 726, inter: 2022, itu: 17, si: 468, totally: 1364, impossible: 2023, kalau: 41, dilihat: 1365, dari: 24, keadaan: 847, ekonomi: 329, keluarga: 439, ku: 349, dan: 8, ekonomi: 329, negara: 77, tapi: 22, enggak: 76, ada: 12, yang: 5, gamungkin: 2024, kan: 110","[1363 1039 1040    4    2    3  725    7  348   63  248   56    5 2021
   41  846   69  627  628  313  726 2022   17  468 1364 2023   41 1365
   24  847  329  439  349    8  329   77   22   76   12    5 2024  110
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
8,2025-02-19 21:09:14,1.89221e+18,mymyeongranz,"Terima kasih pemerintah, pemangkasan anggaran yang tidak perlu ini membuat beasiswa KIP Kuliah jadi lebih transparan dan efisien.",positif,,,,"terima kasih pemerintah, pemangkasan anggaran yang tidak perlu ini membuat beasiswa kip kuliah jadi lebih transparan dan efisien.",terima kasih pemerintah pemangkasan anggaran yang tidak perlu ini membuat beasiswa kip kuliah jadi lebih transparan dan efisien,"['terima', 'kasih', 'pemerintah', 'pemangkasan', 'anggaran', 'yang', 'tidak', 'perlu', 'ini', 'membuat', 'beasiswa', 'kip', 'kuliah', 'jadi', 'lebih', 'transparan', 'dan', 'efisien']","['terima', 'kasih', 'pemerintah', 'pemangkasan', 'anggaran', 'yang', 'tidak', 'perlu', 'ini', 'membuat', 'beasiswa', 'kip', 'kuliah', 'jadi', 'lebih', 'transparan', 'dan', 'efisien']",terima kasih pemerintah pemangkasan anggaran yang tidak perlu ini membuat beasiswa kip kuliah jadi lebih transparan dan efisien,2,"terima: 148, kasih: 111, pemerintah: 15, pemangkasan: 78, anggaran: 2, yang: 5, tidak: 6, perlu: 127, ini: 7, membuat: 165, beasiswa: 27, kip: 14, kuliah: 13, jadi: 19, lebih: 34, transparan: 184, dan: 8, efisien: 156","[148 111  15  78   2   5   6 127   7 165  27  14  13  19  34 184   8 156
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]"
9,2025-02-14 00:02:58,1.89008e+18,ttryt0chullies,"makanya cape bgt retweetin orang pada marah2 krn efisiensi anggaran pendidikan, bener semua soalnya ????",negatif,,,,"makanya cape bgt retweetin orang pada marah2 krn efisiensi anggaran pendidikan, bener semua soalnya ????",makanya cape bgt retweetin orang pada marah krn efisiensi anggaran pendidikan bener semua soalnya,"['makanya', 'cape', 'bgt', 'retweetin', 'orang', 'pada', 'marah', 'krn', 'efisiensi', 'anggaran', 'pendidikan', 'bener', 'semua', 'soalnya']","['makanya', 'capek', 'banget', 'retweetin', 'orang', 'pada', 'marah', 'karena', 'efisiensi', 'anggaran', 'pendidikan', 'benar', 'semua', 'soalnya']",makanya capek banget retweetin orang pada marah karena efisiensi anggaran pendidikan benar semua soalnya,0,"makanya: 413, capek: 557, banget: 45, retweetin: 2025, orang: 56, pada: 43, marah: 509, karena: 42, efisiensi: 4, anggaran: 2, pendidikan: 3, benar: 39, semua: 106, soalnya: 440","[ 413  557   45 2025   56   43  509   42    4    2    3   39  106  440
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
10,2025-02-13 15:35:16,1.88996e+18,Djenaryu,Efisiensi anggaran pendidikan adalah solusi terbaik di masa transisi ini. Pemerintah sudah memikirkan matang-matang demi masa depan pelajar.,positif,,,,efisiensi anggaran pendidikan adalah solusi terbaik di masa transisi ini. pemerintah sudah memikirkan matang-matang demi masa depan pelajar.,efisiensi anggaran pendidikan adalah solusi terbaik di masa transisi ini pemerintah sudah memikirkan matang matang demi masa depan pelajar,"['efisiensi', 'anggaran', 'pendidikan', 'adalah', 'solusi', 'terbaik', 'di', 'masa', 'transisi', 'ini', 'pemerintah', 'sudah', 'memikirkan', 'matang', 'matang', 'demi', 'masa', 'depan', 'pelajar']","['efisiensi', 'anggaran', 'pendidikan', 'adalah', 'solusi', 'terbaik', 'di', 'masa', 'transisi', 'ini', 'pemerintah', 'sudah', 'memikirkan', 'matang', 'matang', 'demi', 'masa', 'depan', 'pelajar']",efisiensi anggaran pendidikan adalah solusi terbaik di masa transisi ini pemerintah sudah memikirkan matang matang demi masa depan pelajar,2,"efisiensi: 4, anggaran: 2, pendidikan: 3, adalah: 90, solusi: 149, terbaik: 166, di: 9, masa: 52, transisi: 178, ini: 7, pemerintah: 15, sudah: 18, memikirkan: 159, matang: 71, matang: 71, demi: 83, masa: 52, depan: 84, pelajar: 137","[  4   2   3  90 149 166   9  52 178   7  15  18 159  71  71  83  52  84
 137   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0]"
