Word,Frequency
pendidikan,519
anggaran,501
efisiensi,439
yang,400
tidak,361
di,248
dan,225
dana,205
ini,187
ada,167
itu,133
saja,131
tapi,116
sudah,110
untuk,107
dipotong,106
juga,97
sekolah,97
pemotongan,96
kalau,96
kena,96
kuliah,94
karena,93
banget,93
buat,92
dari,91
bisa,91
ya,90
jadi,88
guru,84
ke,78
dengan,76
mau,76
pemerintah,74
kip,72
sama,71
mahasiswa,69
bos,67
indonesia,67
pip,64
banyak,62
saya,61
sih,60
orang,58
kampus,56
enggak,56
malah,54
sampai,53
kesehatan,52
apa,52
sekarang,51
nya,51
masih,50
pada,49
makan,49
tuh,49
lagi,49
rakyat,46
negara,46
akan,45
bikin,45
beasiswa,45
potong,44
gua,44
dapat,44
aku,44
bukan,43
memang,43
anak,43
bagaimana,42
tolak,42
kayak,40
gratis,40
dikurangi,39
mana,38
terus,37
demo,36
padahal,36
amp,35
kebijakan,35
semua,34
lebih,34
dipangkas,34
kok,34
jangan,34
mereka,34
tahu,34
gue,33
dia,32
benar,32
tahun,31
kan,31
naik,31
hal,30
gaji,30
makin,30
cuma,30
uu,30
lu,29
belum,29
