Word,Frequency
anggaran,299
efisiensi,269
pendidikan,218
dan,172
tidak,151
yang,125
di,114
pip,94
ini,89
kuliah,88
kip,87
dana,78
cair,66
beasiswa,65
mahasiswa,61
untuk,60
ada,60
indonesia,53
pemotongan,53
ke,49
itu,47
kena,46
dari,46
ya,42
guru,41
sudah,40
bantuan,37
tapi,34
pada,34
bos,34
program,34
akan,34
sekolah,32
pintar,30
aku,29
dengan,28
sri,28
mulyani,28
tetap,28
cek,28
bisa,28
juga,26
cara,26
tinggi,25
pemerintah,25
tahun,25
kebijakan,24
dampak,24
tunjangan,24
sama,24
dapat,23
pastikan,23
sampai,23
penerima,22
jadi,22
bahwa,21
orang,21
dalam,21
simak,20
atau,20
kapan,19
menegaskan,19
gaji,19
kesehatan,18
rp,18
februari,18
kartu,17
soal,17
prabowo,17
hingga,17
lagi,17
masih,17
karena,17
kalau,17
kita,17
baru,16
pemangkasan,16
daerah,16
oleh,16
apa,16
menteri,15
seperti,15
memastikan,15
aksi,15
terdampak,15
belum,15
kampus,15
presiden,15
terbaru,15
kali,15
buat,14
terkait,14
sektor,14
mendiktisaintek,14
semua,14
sih,14
kan,13
informasi,13
kak,13
ukt,13
