Word,Frequency
anggaran,305
pendidikan,279
efisiensi,268
ini,249
yang,219
untuk,216
tidak,157
pemerintah,120
dan,120
kebijakan,115
lebih,96
dana,92
sangat,90
indonesia,80
benar,80
di,80
jadi,79
ada,76
masa,72
maju,72
tepat,69
kip,67
matang,66
kuliah,64
bisa,63
dengan,62
beasiswa,56
langkah,54
proyek,53
kualitas,50
bukan,47
terus,46
program,44
akan,44
sudah,41
sekolah,41
nyata,40
sasaran,40
bagus,39
mendukung,39
saya,39
membutuhkan,38
guru,38
honorer,38
depan,38
sekali,37
memperbaiki,37
kerja,37
penghematan,36
dialihkan,36
fasilitas,36
adalah,36
demi,36
tertinggal,36
daerah,36
lagi,35
makin,35
solusi,34
pelajar,34
terbaik,34
kesejahteraan,34
digunakan,34
dari,33
pemotongan,33
memikirkan,33
transisi,33
dihemat,33
optimis,33
jelas,32
pemborosan,32
pemangkasan,31
membuat,31
terima,31
kasih,31
apresiasi,31
efisien,31
perlu,31
tingginya,31
harus,31
setinggi,31
transparan,31
tanpa,30
tetap,29
penting,29
mantap,28
tapi,28
ke,28
bos,27
guna,27
kebocoran,27
tersalurkan,26
berani,26
krusial,26
pada,26
bebas,26
korupsi,26
kini,26
mengefisiensikan,26
setuju,26
mahal,26
